Number of vertices;Depth of tree;Are isomorphic;Time [ms]
1760;246;false;6580
2320;140;false;11210
1120;113;false;4938
1040;180;false;2186
2560;113;false;24962
2840;193;false;31060
2130;193;false;18426
1140;126;false;2594
2660;180;false;14150
1010;220;false;2128
2640;113;false;26580
1700;126;false;5822
1410;180;false;4126
2570;286;false;13086
2920;166;false;16744
1310;206;false;3548
2920;260;false;16540
1240;206;false;3234
2150;233;false;18540
1580;246;false;5878
1780;140;false;6448
2770;273;false;29718
2100;246;false;9020
1320;166;false;3454
1100;166;false;2490
1650;153;false;11204
2090;260;false;11570
1960;193;false;15572
1470;246;false;6120
1310;153;false;6902
2370;246;false;11216
2660;273;false;28378
2080;300;false;8712
2690;126;false;14270
1670;193;false;11586
1160;300;false;2886
1920;233;false;14714
1120;193;false;5024
1620;113;false;10580
2870;220;false;16042
1060;140;false;2266
2690;206;false;14242
1230;206;false;3066
1180;206;false;2826
2050;126;false;8558
2620;126;false;12804
2340;126;false;11578
1290;206;false;3556
1110;153;false;4866
2970;206;false;17378
1700;273;false;11684
1800;260;false;7030
1610;286;false;5570
1180;166;false;2904
1180;140;false;2770
2040;140;false;8416
2600;260;false;13676
1330;206;false;3666
2710;286;false;14812
1450;206;false;4318
2630;126;false;13116
1220;126;false;3116
1640;286;false;5638
1730;286;false;6224
2550;180;false;13164
1820;166;false;7008
2760;286;false;14786
2260;166;false;10910
1330;113;false;7140
1270;286;false;3330
1160;126;false;2712
2350;300;false;10678
2780;166;false;15052
1240;153;false;6152
2230;166;false;10354
1230;286;false;3096
2700;260;false;14330
1090;126;false;2456
2440;140;false;12470
2600;180;false;13182
2970;140;false;16912
1220;140;false;3060
1230;193;false;6230
2220;233;false;18768
1260;113;false;6430
1390;220;false;4074
2230;180;false;10214
1760;126;false;6302
1540;113;false;9408
1720;260;false;6280
1060;206;false;2266
1270;166;false;3254
1660;180;false;5842
2220;166;false;10464
1010;286;false;2188
1690;260;false;6174
1620;140;false;5334
1570;193;false;10102
2760;113;false;29114
2460;220;false;12018
2800;273;false;30600
2920;246;false;16982
1070;180;false;2332
1730;220;false;6132
2260;286;false;9856
1490;273;false;9196
1300;260;false;4392
2320;126;false;11236
2150;113;false;18516
1660;273;false;11240
1890;220;false;7416
1530;180;false;4854
2140;206;false;9594
1750;166;false;6458
1720;126;false;6094
2910;153;false;31496
2630;153;false;26788
1830;126;false;6704
2700;233;false;28338
1980;286;false;8068
1390;273;false;7864
2230;220;false;9968
2320;166;false;10238
2010;126;false;8566
1880;206;false;7252
2220;260;false;11966
2490;286;false;12714
1820;300;false;7196
1190;193;false;5632
2320;273;false;22696
1960;206;false;7878
2170;113;false;19286
1640;126;false;5448
2190;126;false;9610
1190;260;false;3162
2530;166;false;12636
2970;220;false;16828
1340;180;false;3634
2730;233;false;28244
1430;113;false;8306
1880;260;false;9592
2820;233;false;30976
2080;273;false;17622
2340;180;false;11472
2510;193;false;24164
1090;180;false;2474
2710;193;false;28040
1410;220;false;4164
1990;180;false;7890
1500;126;false;4514
1870;180;false;7122
1700;220;false;5960
2270;140;false;10948
2400;166;false;11360
1960;220;false;7892
2870;193;false;31988
2610;220;false;13308
2590;206;false;13304
1220;166;false;3038
2380;126;false;11752
1650;193;false;11216
2660;166;false;13764
2530;246;false;12806
2410;273;false;21978
2760;300;false;14980
1530;113;false;9470
1330;273;false;7092
1070;300;false;2466
1340;300;false;3766
2160;126;false;9650
2280;286;false;10096
1940;220;false;7698
2110;140;false;9434
1180;260;false;2996
1680;166;false;5566
1610;206;false;5198
1610;166;false;5296
2460;246;false;11546
1780;166;false;6406
2330;113;false;22144
1390;286;false;4020
1860;220;false;7148
2650;193;false;26588
1960;153;false;15360
1660;286;false;5698
2700;300;false;14046
1440;220;false;4212
2630;233;false;26522
2720;273;false;28904
1890;166;false;7324
2380;153;false;22642
2470;260;false;12824
1530;153;false;9622
1140;166;false;2572
1580;273;false;10458
1300;193;false;6738
1740;220;false;6202
1460;113;false;8242
2880;246;false;17224
1150;166;false;2710
2160;286;false;9718
2780;206;false;15130
1880;140;false;7120
2600;246;false;13408
1150;153;false;5368
2970;113;false;32490
1280;153;false;6492
1040;246;false;2258
2470;286;false;12386
2890;153;false;31298
1840;153;false;13450
2620;220;false;13206
2300;193;false;22720
