Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2830;500;false;9473
2870;440;false;9556
1490;440;false;2770
1250;480;false;1953
2490;420;false;7480
2100;420;false;5503
2730;420;false;8899
1170;460;false;1764
1410;480;false;2471
1720;500;false;3753
2590;460;false;7759
1490;500;false;2806
2220;420;false;6018
1930;460;false;4592
1140;460;false;1700
2020;500;false;5218
1960;500;false;4891
2820;500;false;9459
1260;460;false;2038
1910;500;false;4601
1560;460;false;3089
1940;420;false;4759
1610;460;false;3238
2740;480;false;8938
2290;420;false;6432
2470;500;false;6837
1530;460;false;2905
1010;500;false;1292
1200;500;false;1789
2990;420;false;10610
1470;460;false;2652
1710;480;false;3706
2870;500;false;9634
2650;420;false;8367
2300;420;false;6640
1620;460;false;3356
1920;480;false;4530
2120;420;false;5555
2650;460;false;8275
2850;420;false;9621
2440;440;false;6932
2170;500;false;5933
2530;460;false;7672
2210;500;false;6184
2530;500;false;7548
1980;420;false;4919
2340;440;false;6578
2120;440;false;5382
1740;500;false;3802
2550;440;false;7183
1800;460;false;3983
2300;460;false;6589
1230;500;false;1949
1570;500;false;3078
2510;460;false;7624
1650;480;false;3522
2870;460;false;9380
2440;420;false;6780
2280;420;false;6362
2980;480;false;10812
1370;480;false;2363
2890;500;false;9864
1290;460;false;2082
1380;440;false;2415
1790;440;false;3908
2810;440;false;9500
2000;420;false;5090
1520;460;false;2883
2580;460;false;7760
2040;420;false;5194
2390;420;false;7013
2640;460;false;8683
1340;480;false;2311
2650;480;false;7984
1440;420;false;2622
2260;480;false;6294
1050;460;false;1488
1240;460;false;1971
2340;420;false;6576
1270;420;false;2061
1270;480;false;2082
2790;440;false;9326
1270;440;false;2034
1420;420;false;2521
1080;500;false;1512
1550;460;false;3127
2210;420;false;6004
1330;480;false;2208
1640;500;false;3540
1260;500;false;2020
2140;420;false;5679
1020;500;false;1331
2210;480;false;6057
1970;500;false;4837
1720;440;false;3672
2920;440;false;10146
1250;420;false;1983
2920;420;false;9813
1840;420;false;4333
1070;480;false;1473
2340;460;false;6544
1690;420;false;3663
2470;420;false;7280
1310;480;false;2164
2020;480;false;5178
1120;440;false;1574
2940;420;false;10540
1210;480;false;1860
2810;460;false;9589
2610;420;false;8272
1260;480;false;2030
1060;500;false;1460
2040;480;false;5186
2930;420;false;10105
1700;420;false;3526
2720;500;false;8616
2430;500;false;7001
2590;500;false;8055
2050;420;false;5342
2440;500;false;6932
1600;420;false;3193
1700;500;false;3658
1770;480;false;4009
1080;460;false;1502
2500;460;false;7572
1320;500;false;2154
1520;440;false;2952
2450;480;false;6666
2200;480;false;5973
1090;460;false;1497
1110;480;false;1573
1360;420;false;2379
2660;500;false;8141
2210;440;false;6042
1930;440;false;4613
1600;500;false;3344
1280;420;false;2085
1680;480;false;3503
2020;440;false;5028
1350;440;false;2287
2800;440;false;9537
1710;460;false;3616
2760;440;false;9277
1520;480;false;2960
2370;440;false;7548
1910;420;false;4494
2250;500;false;6154
2950;500;false;10490
1670;440;false;3552
2800;500;false;9280
2560;480;false;7694
1800;500;false;3896
1320;440;false;2225
2580;420;false;8746
2570;420;false;7493
1230;420;false;1893
1040;440;false;1408
1920;440;false;4548
2050;460;false;5297
2260;420;false;6174
2360;460;false;6727
1800;480;false;4010
2030;420;false;5121
2720;460;false;8773
2270;440;false;6528
1820;440;false;4171
1350;500;false;2290
2900;420;false;10122
1470;420;false;2703
2160;460;false;5736
1340;440;false;2294
1270;500;false;2088
1500;420;false;2803
2040;500;false;5206
1940;440;false;4717
2590;420;false;8069
2100;440;false;5608
2460;500;false;6642
2700;480;false;8467
2720;420;false;8778
2100;460;false;5506
2960;480;false;10313
2400;420;false;7100
2380;420;false;7511
1100;480;false;1542
1280;500;false;2103
1870;460;false;4297
1360;480;false;2260
2320;480;false;6600
