Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2610;380;false;6991
1550;340;false;2485
1030;320;false;1179
2950;360;false;8731
1990;380;false;4243
2310;380;false;5580
2780;380;false;7878
2410;380;false;5923
2560;380;false;6745
2640;400;false;6967
2300;320;false;5765
2700;320;false;7183
1070;320;false;1207
2830;360;false;8119
2970;380;false;8686
2640;360;false;6882
1420;340;false;2143
1540;400;false;2555
1670;360;false;2950
1670;380;false;2922
2940;340;false;8559
1720;360;false;3099
1790;380;false;3400
1860;340;false;3555
1750;400;false;3325
1170;400;false;1489
1030;400;false;1163
2170;380;false;5073
3000;360;false;8726
2390;360;false;5867
1300;400;false;1841
1050;340;false;1235
1050;400;false;1221
1070;360;false;1249
2220;380;false;4912
2660;340;false;7141
1100;340;false;1318
2340;400;false;5447
1690;340;false;2947
1720;380;false;3146
2850;400;false;7985
2570;340;false;6889
1240;400;false;1659
1220;360;false;1593
2520;400;false;6481
1280;400;false;1746
2790;320;false;7715
2530;320;false;6318
1230;340;false;1619
2430;360;false;6043
1420;320;false;2173
2540;400;false;6413
2070;340;false;4516
1840;360;false;3601
1660;380;false;3041
2240;360;false;5539
1810;380;false;3398
2230;380;false;5480
2500;320;false;6204
1070;380;false;1246
2690;380;false;7219
1410;380;false;2181
2290;320;false;5732
2350;320;false;5813
1530;400;false;2508
2470;360;false;6110
1710;340;false;3086
2680;320;false;7204
2220;360;false;5495
2670;360;false;7090
2630;360;false;6990
1480;320;false;2292
1860;360;false;3575
1060;380;false;1212
1870;320;false;3661
2770;380;false;7808
1190;380;false;1525
1650;340;false;2880
2900;380;false;8523
2690;360;false;7340
1380;400;false;2038
2330;340;false;5562
1740;320;false;3123
1870;380;false;3684
1760;380;false;3256
1370;400;false;2000
2410;400;false;5862
2640;340;false;6862
2150;380;false;5189
2680;380;false;7205
2830;320;false;8031
1350;360;false;1875
2610;320;false;6805
1210;360;false;1538
1580;360;false;2639
1150;360;false;1425
1440;320;false;2209
2010;340;false;4313
1410;320;false;2121
1160;320;false;1430
2710;380;false;7490
1820;400;false;3552
1480;340;false;2320
2460;400;false;6169
1670;400;false;2977
2360;400;false;5491
1850;320;false;3544
2800;340;false;7790
2170;400;false;4987
2750;320;false;7556
2320;360;false;5406
1260;360;false;1707
1980;360;false;4196
1700;320;false;3058
1790;360;false;3349
1350;320;false;1896
2690;340;false;7343
1100;360;false;1313
1920;400;false;3933
1020;400;false;1135
2150;360;false;4932
2770;360;false;7657
1620;400;false;2890
1200;380;false;1556
1130;400;false;1412
1140;360;false;1397
1710;380;false;2984
1030;380;false;1174
1700;360;false;3127
1960;380;false;4115
1520;320;false;2439
1640;380;false;2877
2150;400;false;5197
2230;320;false;5164
2340;320;false;5891
2490;360;false;6070
1630;400;false;2861
2500;400;false;6435
1640;400;false;2936
1110;360;false;1310
2740;360;false;7565
2560;360;false;6504
1870;360;false;3677
2920;360;false;8442
1370;340;false;2026
2220;340;false;5428
2670;400;false;7251
2460;320;false;5989
1170;360;false;1466
1940;380;false;4006
2920;340;false;8365
2360;340;false;5486
1780;340;false;3342
2550;400;false;6488
2820;360;false;7994
2110;320;false;4642
1570;400;false;2635
2360;320;false;5707
1150;320;false;1409
1050;380;false;1219
1860;400;false;3702
2250;340;false;5562
1550;320;false;2498
2810;360;false;7945
2180;360;false;5197
1740;360;false;3150
1440;400;false;2185
2720;320;false;7361
1850;400;false;3640
2360;360;false;5492
1570;360;false;2651
2020;400;false;4352
1390;320;false;2068
1910;400;false;3886
1610;380;false;2771
2680;360;false;7248
1680;380;false;3028
1790;340;false;3353
1640;320;false;2945
1830;340;false;3543
2330;400;false;5364
1130;340;false;1382
1040;360;false;1169
2580;360;false;6770
2730;400;false;7380
2630;400;false;6828
2350;400;false;5344
2810;320;false;7841
2770;340;false;7581
1110;400;false;1349
2540;380;false;6552
1500;380;false;2460
2800;360;false;7778
2390;400;false;5800
2390;380;false;6245
1310;400;false;1799
1610;320;false;2757
2190;340;false;5358
2260;400;false;5599
1410;340;false;2112
2750;400;false;7635
2170;320;false;4952
1570;320;false;2634
2890;320;false;8319
1780;380;false;3300
1240;380;false;1646
2450;400;false;6128
1560;360;false;2664
2720;400;false;7503
1890;380;false;3898
2820;320;false;7928
1740;380;false;3206
2160;340;false;4861
1210;400;false;1577
2920;320;false;8515
2780;360;false;7631
1590;360;false;2610
2470;400;false;6058
2600;320;false;6812
2590;400;false;6810
1340;360;false;1922
2310;320;false;5804
2940;320;false;8472
1770;400;false;3236
2760;340;false;7757
2910;340;false;8360
2600;380;false;7152
1530;360;false;2533
1760;340;false;3181
2520;360;false;6497
1890;320;false;3796
1540;320;false;2465
1760;320;false;3214
1280;320;false;1682
3000;400;false;8965
2870;380;false;8270
1870;400;false;3718
1230;360;false;1623
1470;360;false;2293
2920;380;false;8350
1610;340;false;2732
1960;360;false;4032
2620;340;false;6933
2240;340;false;4942
2700;360;false;7222
1030;340;false;1166
1880;380;false;3735
2280;340;false;5686
1630;360;false;2895
1710;320;false;3178
1490;380;false;2470
2800;320;false;7882
2340;360;false;5444
2650;320;false;6966
1130;320;false;1354
1710;360;false;3146
1970;340;false;4153
2100;360;false;4693
1360;360;false;1959
2390;320;false;5655
1560;340;false;2535
2180;340;false;5156
1090;340;false;1301
1400;320;false;2103
2120;400;false;4880
2980;380;false;8978
2800;400;false;7712
2990;380;false;8731
1590;340;false;2660
1090;360;false;1300
2730;380;false;7624
1440;340;false;2258
2780;320;false;7696
1300;320;false;1812
1540;380;false;2610
2350;380;false;5843
2880;320;false;8211
1340;320;false;1905
2530;360;false;6484
2580;340;false;6566
1530;340;false;2556
2420;320;false;5842
2030;360;false;4395
1830;360;false;3487
1510;380;false;2479
2920;400;false;8385
1180;400;false;1473
2850;340;false;8117
3000;340;false;8888
1360;320;false;1971
1880;320;false;3707
2010;400;false;4304
2060;400;false;4513
2520;320;false;6373
2960;400;false;8862
2460;380;false;6108
2960;320;false;8602
1730;380;false;3484
1320;380;false;1829
1820;340;false;3439
1580;380;false;2763
1530;380;false;2570
2600;360;false;6830
1940;320;false;3984
2420;380;false;6129
2110;400;false;4846
1560;320;false;2642
1630;320;false;2802
1750;340;false;3217
1190;360;false;1523
1950;380;false;3944
2160;400;false;4633
2020;320;false;4181
2060;320;false;4410
2860;320;false;8033
1120;380;false;1353
1510;400;false;2502
2800;380;false;7994
1360;400;false;1981
2820;340;false;8077
1600;400;false;2736
1890;360;false;3743
2500;340;false;6391
2360;380;false;5645
2660;360;false;7142
1200;400;false;1594
2570;360;false;6808
2200;320;false;4921
2480;360;false;6329
1370;320;false;1946
1650;400;false;2886
1460;340;false;2236
1770;380;false;3219
2320;340;false;5629
1900;380;false;3799
2480;400;false;6283
2750;380;false;7645
2190;400;false;5444
2870;320;false;8241
2440;380;false;6465
1580;320;false;2722
1060;320;false;1185
2840;340;false;7917
2140;380;false;5004
2130;360;false;4347
1320;400;false;1876
1470;320;false;2282
