Number of vertices;Depth of tree;Are isomorphic;Time [ms]
1760;246;false;3290
2320;140;false;5605
1120;113;false;2469
1040;180;false;1093
2560;113;false;12481
2840;193;false;15530
2130;193;false;9213
1140;126;false;1297
2660;180;false;7075
1010;220;false;1064
2640;113;false;13290
1700;126;false;2911
1410;180;false;2063
2570;286;false;6543
2920;166;false;8372
1310;206;false;1774
2920;260;false;8270
1240;206;false;1617
2150;233;false;9270
1580;246;false;2939
1780;140;false;3224
2770;273;false;14859
2100;246;false;4510
1320;166;false;1727
1100;166;false;1245
1650;153;false;5602
2090;260;false;5785
1960;193;false;7786
1470;246;false;3060
1310;153;false;3451
2370;246;false;5608
2660;273;false;14189
2080;300;false;4356
2690;126;false;7135
1670;193;false;5793
1160;300;false;1443
1920;233;false;7357
1120;193;false;2512
1620;113;false;5290
2870;220;false;8021
1060;140;false;1133
2690;206;false;7121
1230;206;false;1533
1180;206;false;1413
2050;126;false;4279
2620;126;false;6402
2340;126;false;5789
1290;206;false;1778
1110;153;false;2433
2970;206;false;8689
1700;273;false;5842
1800;260;false;3515
1610;286;false;2785
1180;166;false;1452
1180;140;false;1385
2040;140;false;4208
2600;260;false;6838
1330;206;false;1833
2710;286;false;7406
1450;206;false;2159
2630;126;false;6558
1220;126;false;1558
1640;286;false;2819
1730;286;false;3112
2550;180;false;6582
1820;166;false;3504
2760;286;false;7393
2260;166;false;5455
1330;113;false;3570
1270;286;false;1665
1160;126;false;1356
2350;300;false;5339
2780;166;false;7526
1240;153;false;3076
2230;166;false;5177
1230;286;false;1548
2700;260;false;7165
1090;126;false;1228
2440;140;false;6235
2600;180;false;6591
2970;140;false;8456
1220;140;false;1530
1230;193;false;3115
2220;233;false;9384
1260;113;false;3215
1390;220;false;2037
2230;180;false;5107
1760;126;false;3151
1540;113;false;4704
1720;260;false;3140
1060;206;false;1133
1270;166;false;1627
1660;180;false;2921
2220;166;false;5232
1010;286;false;1094
1690;260;false;3087
1620;140;false;2667
1570;193;false;5051
2760;113;false;14557
2460;220;false;6009
2800;273;false;15300
2920;246;false;8491
1070;180;false;1166
1730;220;false;3066
2260;286;false;4928
1490;273;false;4598
1300;260;false;2196
2320;126;false;5618
2150;113;false;9258
1660;273;false;5620
1890;220;false;3708
1530;180;false;2427
2140;206;false;4797
1750;166;false;3229
1720;126;false;3047
2910;153;false;15748
2630;153;false;13394
1830;126;false;3352
2700;233;false;14169
1980;286;false;4034
1390;273;false;3932
2230;220;false;4984
2320;166;false;5119
2010;126;false;4283
1880;206;false;3626
2220;260;false;5983
2490;286;false;6357
1820;300;false;3598
1190;193;false;2816
2320;273;false;11348
1960;206;false;3939
2170;113;false;9643
1640;126;false;2724
2190;126;false;4805
1190;260;false;1581
2530;166;false;6318
2970;220;false;8414
1340;180;false;1817
2730;233;false;14122
1430;113;false;4153
1880;260;false;4796
2820;233;false;15488
2080;273;false;8811
2340;180;false;5736
2510;193;false;12082
1090;180;false;1237
2710;193;false;14020
1410;220;false;2082
1990;180;false;3945
1500;126;false;2257
1870;180;false;3561
1700;220;false;2980
2270;140;false;5474
2400;166;false;5680
1960;220;false;3946
2870;193;false;15994
2610;220;false;6654
2590;206;false;6652
1220;166;false;1519
2380;126;false;5876
1650;193;false;5608
2660;166;false;6882
2530;246;false;6403
2410;273;false;10989
2760;300;false;7490
1530;113;false;4735
1330;273;false;3546
1070;300;false;1233
1340;300;false;1883
2160;126;false;4825
2280;286;false;5048
1940;220;false;3849
2110;140;false;4717
1180;260;false;1498
1680;166;false;2783
1610;206;false;2599
1610;166;false;2648
2460;246;false;5773
1780;166;false;3203
2330;113;false;11072
1390;286;false;2010
1860;220;false;3574
2650;193;false;13294
1960;153;false;7680
1660;286;false;2849
2700;300;false;7023
1440;220;false;2106
2630;233;false;13261
2720;273;false;14452
1890;166;false;3662
2380;153;false;11321
2470;260;false;6412
1530;153;false;4811
